Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
OR1004,Oregon,OR,41,1,background checks,sales from dealer,handgun,,,,,,,,,No law requiring background checks for sales from dealers of handguns,1990-01-01,1990,1,1,1,,,,,
OR1005,Oregon,OR,41,1,background checks,sales from dealer,long gun,Restrictive,Implement,2001-01-01,,2001,1,1,Or. Rev. Stat. § 166.434(1),"(1) Notwithstanding the fact that ORS 166.412 requires a gun dealer to request a criminal history record check only when transferring a handgun, a gun dealer shall comply with the requirements of ORS 166.412 before transferring any firearm to a purchaser. The provisions of ORS 166.412 apply to the transfer of firearms other than handguns to the same extent that they apply to the transfer of handguns.",,,,,,,,"ORS 166.412 language amended to change ""handgun dealer"" to ""gun dealer"" as of 1/1/2019.",,
OR1006,Oregon,OR,41,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement,1935-01-01,"Not sure about day + month, so using January 1.",1935,1,1,Or. Code Sec. 72-205 et seq.,"72-205. Concealed weapons prohibited-Penalty-Exceptions. 
Except as otherwise provided in this act, it shall be unlawful for any person within this state to carry concealed upon his person or within any vehicle which is under his control or direction any pistol, revolver or other firearm capable of being concealed upon the person without having a license to carry such firearm, as hereinafter provided in section 8 hereof [§ 72-208, Oregon Code].   
72-208. Permits to carry concealed weapons-Application and license. 
It shall be lawful for the sheriff of a county, and the board of police commissioners, chief of police, city marshal, town marshal, or other head of the police department of any city, county, town, or other municipal corporation of this state, upon proof before said board, chief, marshal or other police head, that the person applying therefore is of good moral character, and that good cause exists for the issuance thereof, to issue to such person a license to carry concealed a pistol, revolver or other firearm for a period of one year from the date of such license. All applications for such licenses shall be filed in writing, signed by the applicant, and shall state the name, occupation, residence and business address of the applicant, his age, height, weight, color of eyes and hair, and reason for desiring a license to carry such weapon. Any license issued upon such application shall set forth the foregoing data and shall, in addition, contain a description of the weapon authorized to be carried, giving the name of the manufacturer, the serial number and the caliber thereof. When such licenses are issued by a sheriff a record thereof shall be kept in the office of the county clerk; when issued by police authority such record shall be maintained in the office of the authority by whom issued. Such applications and licenses shall be uniform throughout the state, upon forms to be prescribed by the attorney general.",1990-01-01,1990,1,1,1,,,Not certain that the correct year is 1973. Worth looking further.,,
OR1007,Oregon,OR,41,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify,1990-01-01,,1990,1,1,Or. Rev. Stat. § 166.291(1),"The sheriff of a county, upon a person's application for an Oregon concealed handgun license, upon receipt of the appropriate fees and after compliance with the procedures set out in this section, shall issue the person a concealed handgun license if the person: [lists requirements (a) through (p)]",,,,,,,,,,
OR1008,Oregon,OR,41,3,castle doctrine,,handgun and long gun,Permissive,Modify,1971-01-01,"Not sure about day + month, so using January 1.",1971,1,1,Or. Rev. Stat. § 161.225(2),"A person may use deadly physical force under the circumstances set forth in subsection (1) of this section only: ...
(b) When the person reasonably believes it necessary to prevent the commission of arson or a felony by force and violence by the trespasser.",,,,,1,,,,,
OR1009,Oregon,OR,41,4,child access laws,negligent storage,handgun and long gun,,,,,,,,,No law imposing child access laws - negligent storage (CAP),,,,,1,,,,,
OR1010,Oregon,OR,41,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
OR1011,Oregon,OR,41,7,minimum age,youth possession,long gun,Restrictive,Implement,1971-01-01,"Not sure about day + month, so using January 1.",1971,1,1,Or. Rev. Stat. § 166.250(1)(C)(A),"Except as otherwise provided in this section or ORS 166.260, 166.270, 166.274, 166.291, 166.292 or 166.410 to 166.470 or section 5, chapter 826, Oregon Laws 2009, a person commits the crime of unlawful possession of a firearm if the person knowingly:
     (c) Possesses a firearm and:
         (A) Is under 18 years of age;",,,,,1,18,,Not sure about the effective date.,,
OR1012,Oregon,OR,41,7,minimum age,purchase and sale,long gun,Restrictive,Implement,1970-01-01,See additional notes and comments about this date,1970,1,1,Or. Rev. Stat. § 166.470(1)(a),"(1) Unless relief has been granted under ORS 166.274 or section 5, chapter 826, Oregon Laws 2009, or 18 U.S.C. 925(c) or the expunction laws of this state or an equivalent law of another jurisdiction, a person may not intentionally sell, deliver or otherwise transfer any firearm when the transferor knows or reasonably should know that the recipient: (a) Is under 18 years of age;",,,,,,18,,"Vernick and Hepburn (2003) say handguns, about all firearms. BD: subsection (3) lists exceptions: (3) Subsection (1)(a) of this section does not prohibit:



   (a) The parent or guardian, or another person with the consent of the parent or guardian, of a minor from transferring to the minor a firearm, other than a handgun; or



   (b) The temporary transfer of any firearm to a minor for hunting, target practice or any other lawful purpose.

",Unclear what year this law was first implemented.,
OR1013,Oregon,OR,41,7,minimum age,purchase and sale,handgun,,,,,,,,,No law imposing minimum purchase and sale age for handguns,1970-01-01,1970,1,1,1,,,,,H
OR1015,Oregon,OR,41,8,open carry,not restricted,handgun,,,,,,,,,No law restricting open carry for handguns,,,,,1,,,,,
OR1016,Oregon,OR,41,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for handguns,,,,,1,,,,,
OR1017,Oregon,OR,41,13,waiting period,,handgun,Restrictive,Implement,1972-01-01,,1972,1,1,Or. Rev. Stat. § 166.430,Before any pistol is delivered: one hundred twenty hours shall have elapsed after application for the purchase and the register entries required  by ORS 166.420 have been completed,1990-01-01,1990,1,1,1,,5,,,
OR1018,Oregon,OR,41,13,waiting period,,handgun,Restrictive,Modify,1990-01-01,,1990,1,1,Or. Rev. Stat. § 166.420(5)(a),"(5) Before any handgun shall be delivered:
(a) Fifteen calendar days shall have elapsed after application for the purchase and the register entries required by this section have been completed, except that if the seller is notified by the Department of State Police that the thumbprints on the triplicate are illegible, a new set of thumbprints shall be taken and sent to the Department of State Police and a new 15-day period shall begin; and
",1996-07-01,1996,7,1,,,15,,,
OR1019,Oregon,OR,41,13,waiting period,,handgun,Permissive,Repeal,1996-07-01,,1996,7,1,Or. Rev. Stat. § 166.420,Repealed by 1995 c.729 § 13.,,,,,,,,,,G
OR1020,Oregon,OR,41,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for sales from dealers of long guns,2001-01-01,2001,1,1,1,,,,,
OR1021,Oregon,OR,41,1,background checks,private sales,handgun,Restrictive,Implement,2015-05-11,,2015,5,11,O.R.S. § 166.435,"(2) Except as provided in ORS 166.436 and 166.438 and subsection (4) of this section, a transferor may not transfer a firearm to a transferee unless the transfer is completed through a gun dealer as described in subsection (3) of this section.
(3)(a) A transferor may transfer a firearm to a transferee only as provided in this section. Except as provided in paragraph (b) of this subsection, prior to the transfer both the transferor and the transferee must appear in person before a gun dealer, with the firearm, and request that the gun dealer perform a criminal background check on the transferee.",,,,,,,,,,
OR1022,Oregon,OR,41,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,2015-05-11,2015,5,11,1,,,,,
OR1023,Oregon,OR,41,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
OR1024,Oregon,OR,41,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
OR1025,Oregon,OR,41,7,minimum age,youth possession,handgun,Restrictive,Implement,1971-01-01,"Not sure about day + month, so using January 1.",1971,1,1,Or. Rev. Stat. § 166.250(1)(C)(A),"Except as otherwise provided in this section or ORS 166.260, 166.270, 166.274, 166.291, 166.292 or 166.410 to 166.470 or section 5, chapter 826, Oregon Laws 2009, a person commits the crime of unlawful possession of a firearm if the person knowingly:
     (c) Possesses a firearm and:
         (A) Is under 18 years of age;",,,,,1,18,,Not sure about the effective date.,,
OR1026,Oregon,OR,41,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1970-01-01,See additional notes and comments about this date,1970,1,1,Or. Rev. Stat. § 166.470(1)(a),"(1) Unless relief has been granted under ORS 166.274 or section 5, chapter 826, Oregon Laws 2009, or 18 U.S.C. 925(c) or the expunction laws of this state or an equivalent law of another jurisdiction, a person may not intentionally sell, deliver or otherwise transfer any firearm when the transferor knows or reasonably should know that the recipient: (a) Is under 18 years of age;",,,,,,18,,"Vernick and Hepburn (2003) say handguns, about all firearms. BD: subsection (3) lists exceptions: (3) Subsection (1)(a) of this section does not prohibit:



   (a) The parent or guardian, or another person with the consent of the parent or guardian, of a minor from transferring to the minor a firearm, other than a handgun; or



   (b) The temporary transfer of any firearm to a minor for hunting, target practice or any other lawful purpose.

",Unclear what year this law was first implemented.,
OR1027,Oregon,OR,41,7,minimum age,purchase and sale,long gun,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1970-01-01,1970,1,1,1,,,,,
OR1028,Oregon,OR,41,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement,1994-01-01,,1994,1,1,O.R.S. § 166.250(1),"A person commits the crime of unlawful possession of a firearm if the person knowingly (c) Possesses a firearm and:
(E) Was found to be a person with mental illness and subject to an order under ORS 426.130 that the person be prohibited from purchasing or possessing a firearm as a result of that mental illness;",,,,,,,,Includes commitments after criminal trials.,,
OR1029,Oregon,OR,41,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement,1994-01-01,,1994,1,1,O.R.S. § 166.250(1),A person commits the crime of unlawful possession of a firearm if the person knowingly (c) Possesses a firearm and: (D) Was committed to the Oregon Health Authority under ORS 426.130; (F) Is presently subject to an order under ORS 426.133 prohibiting the person from purchasing or possessing a firearm; (G) Has been found guilty except for insanity under ORS 161.295 of a felony,,,,,,,,Includes commitments after criminal trials.,,
OR1030,Oregon,OR,41,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement,2016-01-01,,2016,1,1,Or. Rev. Stat. § 166.255(1),"It is unlawful for a person to knowingly possess a firearm or ammunition if:

(a) The person is the subject of a court order that:

(A) Was issued or continued after a hearing for which the person had actual notice and during the course of which the person had an opportunity to be heard;

(B) Restrains the person from stalking, intimidating, molesting or menacing an intimate partner, a child of an intimate partner or a child of the person; and

(C) Includes a finding that the person represents a credible threat to the physical safety of an intimate partner, a child of an intimate partner or a child of the person; or

(b) The person has been convicted of a qualifying misdemeanor and, at the time of the offense, the person was a family member of the victim of the offense.",,,,,,,,,,
OR1031,Oregon,OR,41,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement,2018-01-01,,2018,1,1,"Or. Rev. Stat. Ann. §§ 166.525, 166.527","
      166.525 Definitions. As used in ORS 166.525 to 166.543:
      (6) “Petitioner” means a person who petitions for an order under ORS 166.525 to 166.543.

      (7) “Respondent” means a person against whom an order is filed under ORS 166.525 to 166.543. [2017 c.737 §1]


      166.527 Petition for ex parte order; issuance and service of order; request for hearing. (1) A law enforcement officer or a family or household member of a person may file a petition requesting that the court issue an extreme risk protection order enjoining the person from having in the person’s custody or control, owning, purchasing, possessing or receiving, or attempting to purchase or receive, a deadly weapon. (5)(a) The petitioner has the burden of proof at the ex parte hearing.

",,,,,,,,,,
OR1032,Oregon,OR,41,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement,2018-01-01,,2018,1,1,"Or. Rev. Stat. Ann. §§ 166.525, 166.527","
      166.525 Definitions. As used in ORS 166.525 to 166.543:
      (6) “Petitioner” means a person who petitions for an order under ORS 166.525 to 166.543.

      (7) “Respondent” means a person against whom an order is filed under ORS 166.525 to 166.543. [2017 c.737 §1]


      166.527 Petition for ex parte order; issuance and service of order; request for hearing. (1) A law enforcement officer or a family or household member of a person may file a petition requesting that the court issue an extreme risk protection order enjoining the person from having in the person’s custody or control, owning, purchasing, possessing or receiving, or attempting to purchase or receive, a deadly weapon. (5)(a) The petitioner has the burden of proof at the ex parte hearing.

",,,,,,,,,,
OR1033,Oregon,OR,41,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Modify,2019-01-01,,2019,1,1,"Or. Rev. Stat. §§ 166.255, 135.230","ORS 135.230.
[(d) “Intimate partner” means, with respect to a person, the person’s spouse, the person’s former
spouse, a parent of the person’s child or another person who has cohabited or is cohabiting with the
person in a relationship akin to a spouse.]",,,,,,,,,,
OR1034,Oregon,OR,41,12,safety training required,,handgun,,,,,,,,,No law requiring safety training for handguns,,,,,1,,,,,
OR1035,Oregon,OR,41,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,2018-01-01,2018,1,1,1,,,,,
OR1036,Oregon,OR,41,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,2016-01-01,2016,1,1,1,,,,,
OR1037,Oregon,OR,41,10,prohibited possessor,mental health : committed to mh facility : outpatient,handgun and long gun,Restrictive,Implement,2014-01-01,,2014,1,1,O.R.S. § 426.133,"(5) As part of the order under subsection (2) of this section, the court may prohibit the person from purchasing or possessing a firearm during the period of assisted outpatient treatment if, in the opinion of the court, there is a reasonable likelihood the person would constitute a danger to self or others or to the community at large as a result of the person’s mental or psychological state, as demonstrated by past behavior or participation in incidents involving unlawful violence or threats of unlawful violence, or by reason of a single incident of extreme, violent, unlawful conduct. When a court adds a firearm prohibition to an order under subsection (2) of this section, the court shall cause a copy of the order to be delivered to the sheriff of the county, who shall enter the information into the Law Enforcement Data System.",,,,,,,,,,
OR1038,Oregon,OR,41,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
OR1039,Oregon,OR,41,10,prohibited possessor,mental health,handgun and long gun,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,1994-01-01,1994,1,1,1,,,,,
OR1040,Oregon,OR,41,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 
(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
OR1041,Oregon,OR,41,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
OR1042,Oregon,OR,41,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
OR1043,Oregon,OR,41,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,,,,,1,,,,,
OR1044,Oregon,OR,41,9,permit to purchase,,long gun,,,,,,,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
OR1045,Oregon,OR,41,3,castle doctrine,,handgun and long gun,Permissive,Implement,1900-01-01,"Not sure about year, so using 1/1/1900.",1900,1,1,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",1971-01-01,1971,1,1,,,,,,
OR1046,Oregon,OR,41,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Implement,2020-01-01,,2020,1,1,House Bill 2013,"(1) When a person is convicted of an offense described in ORS 166.255 (1)(b) or (c), the court shall, at the time of conviction: Within 24 hours of the court’s order under subsection (1) of this section, the person
shall transfer all firearms and ammunition in the person’s possession to a local law
enforcement agency, to a gun dealer as defined in ORS 166.412 or to a third party who does
not reside with the person, and shall obtain a proof of transfer under paragraph (b) of this
subsection. A transfer to a third party under this subsection must be in accordance with
ORS 166.435, except that the criminal background check exceptions in ORS 166.435 (4) do not
apply.
(b) A",,,,,,,,,,
OR1047,Oregon,OR,41,14,firearm removal at scene of domestic violence,,handgun and long gun,,,,,,,,,No law concerning removal of firearms at scene of domestic violence incident,,,,,1,,,,,
OR1048,Oregon,OR,41,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement,1969-06-16,,1969,16,1969,"O.R.S. §§ 166.360, 370","166.360(9) “Public building” means a hospital, a capitol building, a public or private school, as defined in ORS 339.315, a college or university….166.370(1) Any person who intentionally possesses a loaded or unloaded firearm or any other instrument used as a dangerous weapon, while in or on a public building, shall upon conviction be guilty of a Class C felony.",,,,,1,,,,,
OR1049,Oregon,OR,41,13,firearms in college/university,public and private : CCW allowed,handgun,Permissive,Implement,1977-06-17,,1977,17,1977,O.R.S. § 166.370,"(1) Any person who intentionally possesses a loaded or unloaded firearm or any other instrument used as a dangerous weapon, while in or on a public building, shall upon conviction be guilty of a Class C felony. (3) Subsection (1) of this section does not apply to: (g) A person who is licensed under ORS 166.291 and 166.292 to carry a concealed handgun.",,,,,1,,,Oregon University System is allowed to ban CCW in specific areas of campus. https://policy.oregonstate.edu/policy/firearms,,
OR1050,Oregon,OR,41,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement,1969-06-16,,1969,16,1969,"O.R.S. §§ 166.360, 370","166.360(9) “Public building” means a hospital, a capitol building, a public or private school, as defined in ORS 339.315, a college or university….166.370(1) Any person who intentionally possesses a loaded or unloaded firearm or any other instrument used as a dangerous weapon, while in or on a public building, shall upon conviction be guilty of a Class C felony.",,,,,1,,,,,
OR1051,Oregon,OR,41,12,local laws preempted by state,,handgun and long gun,,,,,,,,,State law does not preempt local law,1996-01-01,1996,1,1,1,,,,,
OR1052,Oregon,OR,41,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement,1996-01-01,,1996,1,1996,O.R.S. § 166.170,"(1) Except as expressly authorized by state statute, the authority to regulate in any matter whatsoever the sale, acquisition, transfer, ownership, possession, storage, transportation or use of firearms or any element relating to firearms and components thereof, including ammunition, is vested solely in the Legislative Assembly.
(2) Except as expressly authorized by state statute, no county, city or other municipal corporation or district may enact civil or criminal ordinances, including but not limited to zoning ordinances, to regulate, restrict or prohibit the sale, acquisition, transfer, ownership, possession, storage, transportation or use of firearms or any element relating to firearms and components thereof, including ammunition. Ordinances that are contrary to this subsection are void.",,,,,,,,,"Exceptions: Or. Rev. Stat. Ann. §§ 166.172: (1) A city may adopt ordinances to regulate, restrict or prohibit the discharge of firearms within the city's boundaries; 166.173: (1) A city or county may adopt ordinances to regulate, restrict or prohibit the possession of loaded firearms in public places as defined in ORS 161.015.   166. 175:  
(1) Notwithstanding any other provision of law, a city may continue to regulate the purchase of used firearms by pawnshops and secondhand stores.",
OR1053,Oregon,OR,41,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,,,,,,,,No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime,,,,,1,,,,,
OR1054,Oregon,OR,41,11,required reporting of lost or stolen firearms,,handgun and long gun,,,,,,,,,No law requiring reporting of lost or stolen firearms,,,,,1,,,,,
PA1002,Pennsylvania,PA,42,1,background checks,private sales,handgun,,,,,,,,,No law requiring background checks for private sales of handguns,1998-07-01,1998,7,1,1,,,,,
PA1003,Pennsylvania,PA,42,1,background checks,sales from dealer,handgun,Restrictive,Implement,1998-07-01,Using date that the Pennsylvania Instant Checks System (PICS) came online,1998,7,1,18 Pa. Cons. Stat. Ann. § 6111(b),"(b)  Duty of seller.
No licensed importer, licensed manufacturer or licensed dealer shall sell or deliver any firearm to another person, other than a licensed importer, licensed manufacturer, licensed dealer or licensed collector, until the conditions of subsection (a) have been satisfied and until he has: 
...  (3) Requested by means of a telephone call that the Pennsylvania State Police conduct a criminal history, juvenile delinquency history and a mental health record check. The purchaser and the licensed dealer shall provide such information as is necessary to accurately identify the purchaser. The requester shall be charged a fee equivalent to the cost of providing the service but not to exceed $ 2 per buyer or transferee.",,,,,,,,,,
PA1004,Pennsylvania,PA,42,1,background checks,sales from dealer,handgun,,,,,,,,,No law requiring background checks for sales from dealers of handguns,1998-07-01,1998,7,1,1,,,,,
PA1005,Pennsylvania,PA,42,1,background checks,sales from dealer,long gun,Restrictive,Implement,1998-07-01,Using date that the Pennsylvania Instant Checks System (PICS) came online,1998,7,1,18 Pa. Cons. Stat. Ann. § 6111(b),"(b)  Duty of seller.
No licensed importer, licensed manufacturer or licensed dealer shall sell or deliver any firearm to another person, other than a licensed importer, licensed manufacturer, licensed dealer or licensed collector, until the conditions of subsection (a) have been satisfied and until he has:
...  (3) Requested by means of a telephone call that the Pennsylvania State Police conduct a criminal history, juvenile delinquency history and a mental health record check. The purchaser and the licensed dealer shall provide such information as is necessary to accurately identify the purchaser. The requester shall be charged a fee equivalent to the cost of providing the service but not to exceed $ 2 per buyer or transferee.",,,,,,,,,,
PA1006,Pennsylvania,PA,42,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement,1973-06-06,,1973,6,6,18 Pa. Cons. Stat. Ann. § 6109 (1973),"The chief or head of any police force or police department of a city, and, elsewhere, the sheriff of a county, may, upon the application of any person, issue a license to such person to carry a firearm in a vehicle or concealed on or about his person within this Commonwealth for not more than one year from date of issue, if it appears that the applicant has good reason to fear an injury to his person or property, or has any other proper reason for carrying a firearm, and that he is a suitable person to be so licensed.",1989-06-21,1989,6,21,1,,,,,
PA1007,Pennsylvania,PA,42,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify,1989-06-21,,1989,6,21,18 Pa. Cons. Stat. Ann. § 6109(e)(1),"A license to carry a firearm shall be for the purpose of carrying a firearm concealed on or about one's person or in a vehicle and shall be issued if, after an investigation not to exceed 45 days, it appears that the applicant is an individual concerning whom no good cause exists to deny the license. A license shall not be issued to any of the following: [lists criteria (i) through (xiv)].
",,,,,,,,,,
PA1008,Pennsylvania,PA,42,3,castle doctrine,expanded 1,handgun and long gun,Permissive,Modify,1973-06-06,,1973,6,6,18 Pa. Cons. Stat. Ann. § 505(b)(2) (1973),"The actor is not obliged to retreat from his dwelling or place of work, unless he was the initial aggressor or is assailed in his place of work by another person whose place of work the actor knows it to be.",2011-08-29,2011,8,29,1,,,,,
PA1009,Pennsylvania,PA,42,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify,2011-08-29,,2011,8,29,18 Pa. Cons. Stat. Ann. § 505(b)(2.3),"(2.3) An actor who is not engaged in a criminal activity, who is not in illegal possession of a firearm and who is attacked in any place where the actor would have a duty to retreat under paragraph (2)(ii) has no duty to retreat and has the right to stand his ground and use force, including deadly force, if:
(i) the actor has a right to be in the place where he was attacked;
(ii) the actor believes it is immediately necessary to do so to protect himself against death, serious bodily injury, kidnapping or sexual intercourse by force or threat; and
(iii) the person against whom the force is used displays or otherwise uses:
(A) a firearm or replica of a firearm as defined in 42 Pa.C.S. § 9712 (relating to sentences for offenses committed with firearms); or
(B) any other weapon readily or apparently capable of lethal use.",,,,,,,,,"Pennsylvania's Stand Your Ground law includes a stipulation that the attacker must display a lethal weapon, such as a firearm, or a replica, in order to justify lethal force and eliminate duty to retreat. While this may limit the use of Stand Your Ground in courts, we include it because it completely removes a person’s duty to retreat in all locations in certain contexts.",
PA1010,Pennsylvania,PA,42,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,Permissive,Implement,1995-10-11,,1995,10,11,18 Pa. Cons. Stat. Ann. § 6110.1(c),Any person who knowingly and intentionally delivers or provides to the minor a firearm in violation of subsection (a) commits a felony of the third degree.,,,,,1,,,,,
PA1011,Pennsylvania,PA,42,5,dealer license,,handgun,Restrictive,Implement,1939-06-24,,1939,6,24,"18 Pa. Cons. Stat. Ann. §§ 6112, 6113 (1972)","§ 6112.  Retail dealer required to be licensed.

No retail dealer shall sell, or otherwise transfer or expose for sale or transfer, or have in his possession with intent to sell or transfer, any firearm without being licensed as provided in this chapter. § 6112. Licensing of Dealers. (a) General rule. --  The chief or head of any police force or police department of a city, and, elsewhere, the sheriff of the county, shall grant to reputable applicants licenses, in form prescribed by the Pennsylvania State Police, effective for not more than one year from date of issue [...]",1995-10-11,1995,10,11,1,,,,,
PA1012,Pennsylvania,PA,42,5,dealer license,,handgun,Permissive,Modify,1995-10-11,,1995,10,11,18 Pa. Cons. Stat. Ann. §§ 6113(a),"§ 6113. Licensing of dealers. (a) General rule.-The chief or head of any police force or police department of a city, and, elsewhere, the sheriff of the county, shall grant to reputable applicants licenses, in form prescribed by the Pennsylvania State Police, effective for not more than three years from date of issue [...]",,,,,,,,,,
PA1013,Pennsylvania,PA,42,5,dealer license,,long gun,Restrictive,Implement,1995-10-11,,1995,10,11,"18 Pa. Cons. Stat. Ann. §§ 6112, 6113","§ 6112. Retail dealer required to be licensed. No retail dealer shall sell, or otherwise transfer or expose for sale or transfer, or have in his possession with intent to sell or transfer, any firearm without being licensed as provided in this subchapter. § 6113. Licensing of dealers. (a) General rule.-The chief or head of any police force or police department of a city, and, elsewhere, the sheriff of the county, shall grant to reputable applicants licenses, in form prescribed by the Pennsylvania State Police, effective for not more than three years from date of issue [...] (d) Definitions.-For the purposes of this section only unless otherwise specifically provided, the term ""firearm"" shall include any weapon that Is designed to or may readily be converted to expel any projectile by the action of an explosive or the frame or receiver of any such weapon.",,,,,,,,,,
PA1014,Pennsylvania,PA,42,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,1995-10-11,1995,10,11,1,,,,,
